pair,target
4_____B_4_2_303_314_316_8497_0001.tif,0
1_____B_4_2_303_314_316_15170_0001.tif,1
1_____B_4_2_303_314_316_1250_0001.tif,1
4_____B_4_2_303_314_316_9214_0001.tif,0
4_____B_4_2_303_314_316_10812_0001.tif,0
1_____B_4_2_303_314_316_1222_0001.tif,1
2_____B_4_2_303_314_316_1946_0001.tif,0
4_____B_4_2_303_314_316_8893_0001.tif,0
1_____B_4_2_303_314_316_12114_0001.tif,1
1_____B_4_2_303_314_316_3514_0001.tif,1
1_____B_4_2_303_314_316_2349_0001.tif,1
4_____B_4_2_303_314_316_7743_0001.tif,0
5_____B_4_2_303_314_316_11461_0001.tif,0
1_____B_4_2_303_314_316_2793_0001.tif,1
1_____B_4_2_303_314_316_4744_0001.tif,1
3_____B_4_2_303_314_316_480_0001.tif,0
1_____B_4_2_303_314_316_12013_0001.tif,1
4_____B_4_2_303_314_316_5352_0001.tif,0
1_____B_4_2_303_314_316_12843_0001.tif,1
1_____B_4_2_303_314_316_2069_0001.tif,1
6_____B_4_2_303_314_316_10941_0001.tif,0
1_____B_4_2_303_314_316_4191_0001.tif,1
2_____B_4_2_303_314_316_9374_0001.tif,0
6_____B_4_2_303_314_316_6308_0001.tif,0
1_____B_4_2_303_314_316_16279_0001.tif,1
6_____B_4_2_303_314_316_8918_0001.tif,0
1_____B_4_2_303_314_316_14397_0001.tif,1
1_____B_4_2_303_314_316_4668_0001.tif,1
1_____B_4_2_303_314_316_2812_0001.tif,1
4_____B_4_2_303_314_316_8785_0001.tif,0
1_____B_4_2_303_314_316_4141_0001.tif,1
5_____B_4_2_303_314_316_8717_0001.tif,0
1_____B_4_2_303_314_316_1509_0001.tif,1
1_____B_4_2_303_314_316_13414_0001.tif,1
1_____B_4_2_303_314_316_55_0001.tif,1
1_____B_4_2_303_314_316_12351_0001.tif,1
1_____B_4_2_303_314_316_1610_0001.tif,1
5_____B_4_2_303_314_316_8062_0001.tif,0
2_____B_4_2_303_314_316_16342_0001.tif,0
1_____B_4_2_303_314_316_2717_0001.tif,1
4_____B_4_2_303_314_316_2574_0001.tif,0
1_____B_4_2_303_314_316_14974_0001.tif,1
4_____B_4_2_303_314_316_11733_0001.tif,0
1_____B_4_2_303_314_316_12933_0001.tif,1
2_____B_4_2_303_314_316_15613_0001.tif,0
1_____B_4_2_303_314_316_4801_0001.tif,1
1_____B_4_2_303_314_316_12412_0001.tif,1
2_____B_4_2_303_314_316_273_0001.tif,0
5_____B_4_2_303_314_316_10606_0001.tif,0
5_____B_4_2_303_314_316_8178_0001.tif,0
1_____B_4_2_303_314_316_1105_0001.tif,1
1_____B_4_2_303_314_316_1246_0001.tif,1
1_____B_4_2_303_314_316_1771_0001.tif,1
1_____B_4_2_303_314_316_13023_0001.tif,1
1_____B_4_2_303_314_316_12262_0001.tif,1
1_____B_4_2_303_314_316_11998_0001.tif,1
4_____B_4_2_303_314_316_532_0001.tif,0
1_____B_4_2_303_314_316_4802_0001.tif,1
4_____B_4_2_303_314_316_7734_0001.tif,0
1_____B_4_2_303_314_316_15125_0001.tif,1
4_____B_4_2_303_314_316_10596_0001.tif,0
1_____B_4_2_303_314_316_13398_0001.tif,1
3_____B_4_2_303_314_316_13987_0001.tif,0
5_____B_4_2_303_314_316_5795_0001.tif,0
1_____B_4_2_303_314_316_13627_0001.tif,1
5_____B_4_2_303_314_316_10473_0001.tif,0
1_____B_4_2_303_314_316_207_0001.tif,1
1_____B_4_2_303_314_316_12375_0001.tif,1
4_____B_4_2_303_314_316_5666_0001.tif,0
1_____B_4_2_303_314_316_11996_0001.tif,1
5_____B_4_2_303_314_316_6512_0001.tif,0
4_____B_4_2_303_314_316_5649_0001.tif,0
1_____B_4_2_303_314_316_14400_0001.tif,1
4_____B_4_2_303_314_316_8916_0001.tif,0
4_____B_4_2_303_314_316_8815_0001.tif,0
4_____B_4_2_303_314_316_4044_0001.tif,0
1_____B_4_2_303_314_316_3559_0001.tif,1
2_____B_4_2_303_314_316_3327_0001.tif,0
5_____B_4_2_303_314_316_8774_0001.tif,0
1_____B_4_2_303_314_316_16379_0001.tif,1
1_____B_4_2_303_314_316_14094_0001.tif,1
1_____B_4_2_303_314_316_15049_0001.tif,1
4_____B_4_2_303_314_316_10985_0001.tif,0
1_____B_4_2_303_314_316_1652_0001.tif,1
1_____B_4_2_303_314_316_4620_0001.tif,1
4_____B_4_2_303_314_316_5258_0001.tif,0
1_____B_4_2_303_314_316_13086_0001.tif,1
1_____B_4_2_303_314_316_1611_0001.tif,1
2_____B_4_2_303_314_316_9479_0001.tif,0
5_____B_4_2_303_314_316_10679_0001.tif,0
1_____B_4_2_303_314_316_16151_0001.tif,1
1_____B_4_2_303_314_316_14060_0001.tif,1
2_____B_4_2_303_314_316_9396_0001.tif,0
1_____B_4_2_303_314_316_13838_0001.tif,1
4_____B_4_2_303_314_316_2208_0001.tif,0
1_____B_4_2_303_314_316_13576_0001.tif,1
4_____B_4_2_303_314_316_1014_0001.tif,0
1_____B_4_2_303_314_316_15475_0001.tif,1
4_____B_4_2_303_314_316_11154_0001.tif,0
4_____B_4_2_303_314_316_3920_0001.tif,0
1_____B_4_2_303_314_316_4676_0001.tif,1
4_____B_4_2_303_314_316_10855_0001.tif,0
3_____B_4_2_303_314_316_14010_0001.tif,0
1_____B_4_2_303_314_316_1167_0001.tif,1
5_____B_4_2_303_314_316_11228_0001.tif,0
2_____B_4_2_303_314_316_298_0001.tif,0
5_____B_4_2_303_314_316_9063_0001.tif,0
1_____B_4_2_303_314_316_1254_0001.tif,1
2_____B_4_2_303_314_316_15831_0001.tif,0
2_____B_4_2_303_314_316_15332_0001.tif,0
1_____B_4_2_303_314_316_15579_0001.tif,1
1_____B_4_2_303_314_316_1569_0001.tif,1
1_____B_4_2_303_314_316_159_0001.tif,1
1_____B_4_2_303_314_316_13631_0001.tif,1
2_____B_4_2_303_314_316_15690_0001.tif,0
2_____B_4_2_303_314_316_15378_0001.tif,0
1_____B_4_2_303_314_316_4245_0001.tif,1
2_____B_4_2_303_314_316_15510_0001.tif,0
5_____B_4_2_303_314_316_10543_0001.tif,0
1_____B_4_2_303_314_316_14790_0001.tif,1
1_____B_4_2_303_314_316_13432_0001.tif,1
2_____B_4_2_303_314_316_2531_0001.tif,0
4_____B_4_2_303_314_316_3553_0001.tif,0
3_____B_4_2_303_314_316_2143_0001.tif,0
5_____B_4_2_303_314_316_6470_0001.tif,0
1_____B_4_2_303_314_316_14630_0001.tif,1
4_____B_4_2_303_314_316_6049_0001.tif,0
6_____B_4_2_303_314_316_11388_0001.tif,0
1_____B_4_2_303_314_316_13671_0001.tif,1
1_____B_4_2_303_314_316_523_0001.tif,1
1_____B_4_2_303_314_316_12839_0001.tif,1
1_____B_4_2_303_314_316_4800_0001.tif,1
4_____B_4_2_303_314_316_5950_0001.tif,0
4_____B_4_2_303_314_316_8898_0001.tif,0
1_____B_4_2_303_314_316_1698_0001.tif,1
4_____B_4_2_303_314_316_10801_0001.tif,0
